Time,Type of Transaction,Age,Fraud
11,ATM,53.5,0
3,POS,55.8,1
18,Online,43.5,0
19,Online,39.7,0
11,POS,47.6,0
8,POS,42.5,0
22,ATM,51.9,0
14,ATM,49.1,0
9,ATM,45.9,0
13,POS,32,0
9,ATM,39.4,0
17,ATM,62.9,0
20,POS,38.1,0
9,POS,36.4,0
10,Online,50.5,0
12,POS,49.6,0
15,POS,52.9,0
7,ATM,43.5,0
16,Online,53.3,0
14,Online,38.6,0
15,POS,46.6,0
11,Online,61,0
17,ATM,52.1,0
22,ATM,54.8,0
21,Online,48.9,0
17,POS,43.5,0
14,POS,41.2,0
20,Online,49.4,0
20,POS,48.4,0
18,POS,38.1,0
15,ATM,58.4,0
7,Online,30.2,0
23,ATM,45.8,0
16,POS,40.5,0
8,ATM,53.5,0
2,Online,51.9,1
8,Online,56.8,0
19,ATM,43.6,0
20,ATM,33.7,0
19,POS,60.3,0
4,Online,39.9,1
7,POS,46.3,0
20,ATM,48.3,0
23,POS,37,0
13,ATM,63.6,0
15,ATM,54.4,0
9,POS,32,0
17,ATM,40.6,0
12,Online,36.7,0
14,Online,36.3,0
0,Online,47.7,1
16,Online,54.6,0
19,POS,34.4,0
12,Online,45.1,0
13,POS,47.9,0
13,ATM,33.2,0
7,ATM,52.7,0
19,Online,32.2,0
22,ATM,36.4,0
11,POS,44,0
20,POS,32.8,0
9,POS,45.6,0
18,Online,47.5,0
9,ATM,48.3,0
23,ATM,56.5,1
16,POS,53.8,0
7,POS,54.9,0
11,POS,54.3,0
10,POS,45,1
9,POS,33.6,0
7,POS,42.5,0
13,POS,35.2,0
16,Online,40.7,0
3,ATM,37.9,1
7,Online,65.2,0
18,ATM,51.4,0
10,Online,50.1,0
14,Online,35.2,0
16,POS,47,0
16,Online,39.5,0
11,ATM,46.4,0
5,POS,33.6,1
18,ATM,40,0
16,Online,47.9,0
17,Online,41.2,0
22,POS,45.3,0
7,Online,37.3,0
21,Online,52.1,0
11,POS,51.3,0
17,Online,43.3,0
11,ATM,52.9,0
9,POS,61.1,0
22,ATM,49.7,1
10,ATM,48.8,0
18,POS,38.5,0
20,Online,43.8,0
11,Online,43.7,0
18,POS,52.1,1
14,POS,50.4,0
9,POS,43,0
17,ATM,42.7,0
9,Online,42.8,0
18,ATM,48.5,0
11,ATM,36.3,0
16,POS,41,0
17,Online,54.2,0
18,ATM,61.7,1
8,ATM,37.2,0
7,POS,31.2,0
21,ATM,42.7,0
17,ATM,41.9,0
21,ATM,65.1,0
22,Online,46.4,0
16,POS,48.3,0
15,Online,48,0
16,POS,44.8,0
13,Online,37.5,0
18,ATM,34.6,0
22,POS,40.2,0
23,POS,63.1,0
12,Online,46,0
3,Online,43,1
15,POS,65.7,0
21,POS,47.8,0
19,POS,51.6,0
23,ATM,60.7,1
19,ATM,55.1,0
12,Online,48.5,0
22,POS,42.6,0
23,ATM,52.8,0
19,Online,41.5,0
17,Online,40.5,0
22,Online,53.6,0
10,POS,41.6,0
19,Online,40.4,0
15,Online,35.6,0
22,POS,43.6,0
20,ATM,58.9,0
19,POS,48.8,1
9,ATM,47.5,0
8,Online,52.6,1
15,POS,41.3,0
16,ATM,39.3,1
7,ATM,44.2,0
21,ATM,51.5,0
16,ATM,54.2,0
3,Online,55.4,1
11,Online,57.5,0
8,Online,41.8,0
22,POS,48.4,0
16,Online,50.5,0
3,POS,44.3,1
23,POS,41.8,0
6,ATM,42,1
8,Online,25.3,0
17,ATM,50.8,0
22,POS,62.2,0
10,Online,52.5,0
20,Online,56.3,0
20,POS,38.1,0
8,ATM,46.2,0
10,ATM,54.2,0
7,Online,52.2,0
17,ATM,39,0
22,ATM,54.2,0
8,Online,57.4,0
21,Online,50.5,0
18,ATM,59.1,0
7,ATM,72.4,0
22,POS,33.8,0
7,POS,48.9,0
10,ATM,47,0
7,ATM,52.5,0
21,Online,53.8,0
11,POS,50.4,0
8,ATM,45.2,0
4,Online,48.5,1
16,POS,35.3,0
23,Online,45.9,0
23,POS,37.5,0
10,Online,33.2,1
13,ATM,39.7,0
22,ATM,39.7,0
15,Online,60.6,0
17,ATM,52.7,0
14,POS,44.2,0
17,POS,49.5,0
7,Online,38.5,0
10,ATM,27.5,0
23,POS,48.7,0
18,POS,25.3,0
9,POS,45.1,0
9,POS,49.5,0
22,Online,45.6,0
12,Online,44.1,0
19,Online,31.8,0
11,ATM,32.3,0
10,ATM,35.1,0
7,POS,51.5,0
19,ATM,33.8,0
21,Online,35.4,0
11,Online,52.7,0
7,ATM,47,0
22,ATM,44.7,0
13,POS,37.1,0
22,ATM,51.6,0
23,ATM,48.1,0
19,Online,46.7,0
17,Online,29.5,0
21,Online,65.5,0
17,POS,47.6,0
15,ATM,44.7,0
23,Online,49.2,0
23,Online,57.5,0
8,Online,60.4,0
22,POS,65.2,0
23,ATM,55,0
20,Online,56.1,0
8,Online,40.1,0
13,ATM,22.1,1
16,POS,53.2,0
16,Online,41,0
9,ATM,46.9,0
10,Online,54,0
23,ATM,32.6,0
17,POS,42.2,0
14,ATM,27.9,0
15,Online,39.7,0
13,Online,54.6,0
12,Online,60.3,0
19,ATM,48.4,0
9,POS,63.6,0
13,Online,41.9,0
21,Online,55.8,0
21,Online,62,0
1,Online,49.3,1
16,ATM,50.5,0
10,Online,28.6,0
21,Online,54.5,0
14,POS,33.3,0
10,ATM,50.8,0
9,Online,51.9,0
14,Online,37.6,1
9,Online,22.3,0
20,Online,34.6,0
23,Online,55.5,0
23,ATM,50.1,0
19,Online,45.2,0
12,POS,25,0
10,Online,36.5,0
21,ATM,44.2,0
9,POS,31.6,0
17,ATM,54.5,0
9,POS,49.5,0
18,Online,61.7,0
18,ATM,53.5,0
10,POS,38.3,0
18,POS,43.5,0
11,POS,47.5,0
20,Online,48.8,0
13,POS,41.6,0
19,ATM,35,0
11,Online,54.4,0
5,ATM,46.6,1
9,POS,60.1,0
18,ATM,56.4,1
12,POS,40.3,0
16,ATM,30.6,0
10,Online,67.8,0
12,ATM,59,0
14,Online,44.8,0
16,POS,52.8,0
21,ATM,35.4,0
20,ATM,36.3,0
23,Online,55.1,0
13,ATM,25.7,1
8,ATM,40,0
13,ATM,47,0
20,ATM,47.8,0
7,ATM,43.9,0
19,ATM,39.9,0
17,POS,50,0
9,POS,37.5,1
14,POS,56.3,0
20,ATM,40.5,0
22,ATM,44.7,0
20,Online,57.9,0
20,POS,29.3,0
20,POS,53.5,0
21,POS,37.9,0
14,ATM,54.3,0
2,Online,48.4,1
23,ATM,54,0
23,POS,38.9,0
9,Online,48.2,0
10,Online,46.1,0
12,POS,56.9,0
23,Online,38.9,0
10,ATM,39.9,0
12,POS,37.1,0
20,ATM,34.9,0
20,ATM,59.9,0
21,Online,29.8,0
22,Online,45.7,0
16,ATM,51.3,0
20,Online,44,0
22,ATM,61.8,0
11,POS,24.5,0
9,Online,41.1,0
17,ATM,42.9,0
13,ATM,51.4,0
9,Online,56.4,0
7,Online,38.3,0
16,ATM,53.5,0
23,Online,46.6,0
19,ATM,63.4,0
7,ATM,48.9,0
21,Online,54.6,0
12,Online,33.7,0
12,Online,56.4,0
6,POS,30.9,1
21,ATM,49.2,0
18,Online,44.4,0
17,Online,41.6,0
13,ATM,33.7,0
22,Online,50.8,0
6,ATM,40.9,1
9,ATM,47.9,0
9,ATM,60,0
19,ATM,63.5,0
20,POS,47.8,1
20,ATM,32.6,0
16,Online,45.2,0
20,POS,50.7,1
10,Online,36.9,0
18,POS,35.9,0
12,ATM,36.1,0
10,ATM,36.3,0
21,Online,41.7,0
23,Online,44.3,0
13,POS,55,0
20,POS,30.5,0
23,POS,41.8,0
10,POS,52.8,0
21,ATM,49.5,0
13,ATM,45.4,0
23,ATM,58.3,0
16,POS,24.3,0
20,Online,55.5,0
20,Online,45.5,1
7,Online,40.7,0
22,POS,53.7,0
12,Online,43.3,1
22,POS,61.6,0
12,Online,53.2,0
12,ATM,34.5,0
10,ATM,53.6,0
16,Online,52.3,1
11,Online,35.9,0
9,POS,36.6,0
21,ATM,33.7,0
15,ATM,41.6,0
11,POS,55.2,0
23,Online,43.6,0
11,Online,57.7,0
18,Online,49.3,0
18,Online,42,0
13,ATM,45.9,0
18,ATM,52,0
15,Online,39.4,0
23,Online,37.1,0
13,ATM,49.6,0
16,Online,32.4,0
17,POS,36.3,0
8,POS,50.2,0
18,Online,42.9,0
8,Online,47.1,0
17,Online,46.8,0
13,POS,33,0
20,ATM,24.6,0
20,Online,36.2,0
18,ATM,46.4,0
12,Online,47.2,0
10,Online,30.6,0
19,POS,36.1,0
17,Online,37.1,0
17,POS,37.3,0
18,Online,43.4,0
17,POS,24.9,0
18,Online,38.3,0
16,POS,61.3,0
15,POS,34.4,0
19,POS,61.6,0
20,ATM,53.7,0
23,POS,22.8,0
23,Online,48.4,0
11,ATM,48.4,0
9,POS,50.8,0
9,POS,55.4,0
13,POS,56.7,0
23,Online,39.3,0
8,Online,42.7,0
19,ATM,27.3,0
6,ATM,60,1
23,ATM,35.8,0
18,ATM,44.3,0
20,ATM,43,0
8,POS,67.4,0
15,POS,42.8,0
9,ATM,33.5,0
12,POS,43.8,0
10,ATM,45.3,0
9,ATM,48.4,0
12,POS,56.5,0
19,POS,36.6,0
19,Online,36,0
14,ATM,56.4,0
21,Online,41.8,1
7,ATM,37.8,0
21,ATM,39.3,0
20,ATM,42.5,0
10,ATM,53.4,0
20,POS,46.7,0
15,ATM,33,0
20,ATM,48.3,0
22,ATM,43.7,0
18,Online,27.4,0
21,ATM,32.1,0
23,Online,43.2,0
20,ATM,41.3,0
5,Online,37.1,1
8,POS,32.5,0
16,ATM,35.7,0
8,Online,29.1,0
12,POS,41.2,0
14,ATM,39,0
18,Online,24.7,1
9,POS,48.1,0
17,Online,25.5,0
14,ATM,53.7,0
22,Online,64.7,0
9,ATM,54.3,0
21,Online,66,0
19,POS,59.3,0
20,Online,35,0
22,ATM,52.8,0
20,POS,49.8,1
19,POS,49.5,0
19,Online,46,0
18,Online,21.7,0
22,Online,41.2,0
14,Online,60.8,0
17,POS,52.9,0
8,POS,67.5,0
9,POS,50.8,0
18,POS,44.1,0
22,ATM,56.4,0
